candidat,rang,methode,mention_majoritaire,id,nom_institut,commanditaire,debut_enquete,fin_enquete,echantillon,population
Yannick Jadot,3,borda,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Fabien Roussel,5,borda,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Jean Lassalle,9,borda,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Anne Hidalgo,8,borda,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Jean-Luc Mélenchon,6,borda,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Nathalie Arthaud,11,borda,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Christiane Taubira,7,borda,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Nicolas Dupont-Aignan,10,borda,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Philippe Poutou,13,borda,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Eric Zemmour,12,borda,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Emmanuel Macron,1,vote par assentiment simulé,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Valérie Pécresse,2,vote par assentiment simulé,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Marine Le Pen,3,vote par assentiment simulé,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Yannick Jadot,6,vote par assentiment simulé,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Fabien Roussel,7,vote par assentiment simulé,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Jean Lassalle,11,vote par assentiment simulé,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Anne Hidalgo,10,vote par assentiment simulé,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Jean-Luc Mélenchon,4,vote par assentiment simulé,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Nathalie Arthaud,13,vote par assentiment simulé,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Christiane Taubira,8,vote par assentiment simulé,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Nicolas Dupont-Aignan,9,vote par assentiment simulé,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Philippe Poutou,12,vote par assentiment simulé,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Eric Zemmour,5,vote par assentiment simulé,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Emmanuel Macron,1,vote par note,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Valérie Pécresse,2,vote par note,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Marine Le Pen,3,vote par note,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Yannick Jadot,4,vote par note,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Fabien Roussel,5,vote par note,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Jean Lassalle,9,vote par note,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Anne Hidalgo,10,vote par note,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Jean-Luc Mélenchon,6,vote par note,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Nathalie Arthaud,12,vote par note,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Christiane Taubira,8,vote par note,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Nicolas Dupont-Aignan,11,vote par note,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Philippe Poutou,13,vote par note,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Eric Zemmour,7,vote par note,nan,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales
Emmanuel Macron,1,jugement majoritaire,Passable,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Marine Le Pen,2,jugement majoritaire,Passable,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Valérie Pécresse,3,jugement majoritaire,Passable,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Jean-Luc Mélenchon,4,jugement majoritaire,Passable,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Fabien Roussel,5,jugement majoritaire,Insuffisant,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Yannick Jadot,6,jugement majoritaire,Insuffisant,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Jean Lassalle,7,jugement majoritaire,Insuffisant,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Anne Hidalgo,8,jugement majoritaire,Insuffisant,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Nicolas Dupont-Aignan,9,jugement majoritaire,Insuffisant,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Philippe Poutou,10,jugement majoritaire,Insuffisant,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Nathalie Arthaud,11,jugement majoritaire,Insuffisant,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Eric Zemmour,12,jugement majoritaire,A rejeter,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Emmanuel Macron,1,condorcet,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Marine Le Pen,2,condorcet,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Valérie Pécresse,3,condorcet,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Jean-Luc Mélenchon,4,condorcet,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Fabien Roussel,5,condorcet,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Yannick Jadot,6,condorcet,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Jean Lassalle,7,condorcet,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Anne Hidalgo,9,condorcet,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Nicolas Dupont-Aignan,8,condorcet,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Philippe Poutou,10,condorcet,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Nathalie Arthaud,11,condorcet,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Eric Zemmour,12,condorcet,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Emmanuel Macron,1,borda,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Marine Le Pen,2,borda,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Valérie Pécresse,3,borda,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Jean-Luc Mélenchon,4,borda,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Fabien Roussel,6,borda,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Yannick Jadot,5,borda,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Jean Lassalle,7,borda,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Anne Hidalgo,9,borda,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Nicolas Dupont-Aignan,8,borda,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Philippe Poutou,11,borda,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Nathalie Arthaud,12,borda,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Eric Zemmour,10,borda,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Emmanuel Macron,1,vote par assentiment simulé,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Marine Le Pen,2,vote par assentiment simulé,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Valérie Pécresse,4,vote par assentiment simulé,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Jean-Luc Mélenchon,3,vote par assentiment simulé,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Fabien Roussel,6,vote par assentiment simulé,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Yannick Jadot,7,vote par assentiment simulé,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Jean Lassalle,8,vote par assentiment simulé,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Anne Hidalgo,11,vote par assentiment simulé,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Nicolas Dupont-Aignan,9,vote par assentiment simulé,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Philippe Poutou,10,vote par assentiment simulé,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Nathalie Arthaud,12,vote par assentiment simulé,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Eric Zemmour,5,vote par assentiment simulé,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Emmanuel Macron,1,vote par note,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Marine Le Pen,2,vote par note,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Valérie Pécresse,4,vote par note,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Jean-Luc Mélenchon,3,vote par note,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Fabien Roussel,5,vote par note,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Yannick Jadot,7,vote par note,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Jean Lassalle,6,vote par note,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Anne Hidalgo,10,vote par note,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Nicolas Dupont-Aignan,8,vote par note,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Philippe Poutou,11,vote par note,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Nathalie Arthaud,12,vote par note,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
Eric Zemmour,9,vote par note,nan,20220330_0331_ow,Opinion Way,Mieux voter,2022-03-30,2022-03-31,1044,Inscrit sur les listes électorales
